"so2","car.count","wind.velocity","wind.direction","time.of.day","day.index","temperature.1","temperature.30"
169.099956726549,1430.0003957469,1.3,114,21,50,-1.7,-0.3
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
20.2999820132388,2884.9994837518,2.2,44,18,189,9.8,9.8
68.7997423486588,3542.0112694478,5.9,214,16,108,4.2,4.5
82.0000617243545,2531.00060606036,0.5,296,15,184,8.9,8.3
24.0999556440725,989.995106314746,4.8,72,23,57,-1.4,-1.5
45.2001316751058,3714.98529920993,3.5,82,8,64,2,1.8
48.299924620252,2409.99511617682,8.1,220,15,156,7.5,7
70.8999692621566,1874.99261550608,1.7,250,13,137,-2.2,-2.9
58.7998909317118,2745.99838994401,2.5,212,9,131,2.7,2.7
45.3001344284483,296.999364776278,1.2,76,1,141,2,2.4
43.79983279897,2432.99916600783,4.8,223,11,178,5.7,4.2
80.3000304375027,2281.00177397,0.6,91,7,74,-5.2,-5.1
31.200059441815,280.998687920281,1,61,7,91,-13.8,-12
38.5000677102506,2900.01155369678,3.7,16,18,116,-4.8,-4.8
41.2998967514925,164.000585837878,3,78,3,184,5.8,5.8
34.1000891958457,114.000176883165,2.4,80,3,200,2.9,3.5
29.900045436175,747.997772478408,3.9,67,6,199,2.2,2.2
36.3000819919624,901.00427290502,3.6,73,8,83,-9.3,-9
24.7999094015263,846.000541773309,2.8,77,22,84,-6.4,-6.5
45.9002241271949,2935.99004775665,2.1,48,15,88,-8.8,-9
32.4999970965901,686.001627381973,2.1,83,23,58,0.5,0.5
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
43.79983279897,2432.99916600783,4.8,223,11,178,5.7,4.2
137.599872651363,3157.98675280016,1.3,152,9,36,2.3,2.8
38.5000677102506,2900.01155369678,3.7,16,18,116,-4.8,-4.8
55.4000225060752,3852.00857872935,3.1,225,17,207,8.4,7.9
55.9999053189117,1048.99726379585,1.3,236,20,86,-7.5,-5.2
22.1999491869614,2206.00838322746,3.5,56,14,196,6.4,6.1
97.4003690835364,2900.9977252647,4.2,81,9,194,6.3,5.7
60.9997642858835,3823.99130357887,1.3,215,8,162,0.8,1
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
